antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'Chemical Proof Tanks', 'Bathik Tanks'})",frozenset({'Water Proof Tanks'}),0.06373861810391002,0.09908944831280128,0.04659882163899304,0.7310924369747899,7.378105836929366,0.040282997134856266,3.3502611140867695,0.9233146584602436
"frozenset({'Water Proof Tanks', 'Bathik Tanks'})",frozenset({'Chemical Proof Tanks'}),0.06588109266202463,0.09801821103374397,0.04659882163899304,0.7073170731707318,7.216180194588832,0.04014127479531306,3.0817711123013756,0.922176526415691
"frozenset({'Chemical Proof Tanks', 'Water Proof Tanks'})",frozenset({'Bathik Tanks'}),0.06347080878414568,0.10230316014997322,0.04659882163899304,0.7341772151898734,7.176486181986879,0.040105557323100255,3.3770500165786728,0.9189847455454428
frozenset({'Chemical Proof Tanks'}),frozenset({'Water Proof Tanks'}),0.09801821103374397,0.09908944831280128,0.06347080878414568,0.6475409836065573,6.534913602126717,0.05375823832820426,2.556071797810191,0.9390165068101868
frozenset({'Water Proof Tanks'}),frozenset({'Chemical Proof Tanks'}),0.09908944831280128,0.09801821103374397,0.06347080878414568,0.6405405405405405,6.534913602126717,0.05375823832820426,2.5092726459963512,0.9401330543807102
frozenset({'Water Proof Tanks'}),frozenset({'Bathik Tanks'}),0.09908944831280128,0.10230316014997322,0.06588109266202463,0.6648648648648648,6.498967029857082,0.05574392896210763,2.6786115382621767,0.9391935655385091
frozenset({'Bathik Tanks'}),frozenset({'Water Proof Tanks'}),0.10230316014997322,0.09908944831280128,0.06588109266202463,0.643979057591623,6.498967029857082,0.05574392896210763,2.530498755474337,0.9425558336728952
frozenset({'Chemical Proof Tanks'}),frozenset({'Bathik Tanks'}),0.09801821103374397,0.10230316014997322,0.06373861810391002,0.6502732240437159,6.3563356507309825,0.053711045362911033,2.566851901446171,0.9342501846344238
frozenset({'Bathik Tanks'}),frozenset({'Chemical Proof Tanks'}),0.10230316014997322,0.09801821103374397,0.06373861810391002,0.6230366492146597,6.3563356507309825,0.053711045362911033,2.3927572457299293,0.938709612723371
"frozenset({'Interlock', 'Loover'})",frozenset({'Roofing Sheets'}),0.051419389394750936,0.10712372790573112,0.02945902517407606,0.5729166666666667,5.348177083333334,0.023950788495473923,2.090637124903654,0.8570915250757148
"frozenset({'Loover', 'Doors'})",frozenset({'Roofing Sheets'}),0.05650776647027317,0.10712372790573112,0.031333690412426354,0.5545023696682464,5.17627962085308,0.025280367812504215,2.004222270339263,0.8551326933387676
"frozenset({'Roofing Sheets', 'Doors'})",frozenset({'Loover'}),0.05463310123192287,0.11221210498125335,0.031333690412426354,0.5735294117647058,5.111118910571388,0.02520319512153838,2.0817095469405094,0.8508316989903392
"frozenset({'Interlock', 'Loover'})",frozenset({'Doors'}),0.051419389394750936,0.1146223888591323,0.029726834493840386,0.578125,5.0437353971962615,0.023833021247736102,2.0986728560376124,0.8451935843240193
"frozenset({'Interlock', 'Garden Animal Moulds'})",frozenset({'Tables and Benches'}),0.051419389394750936,0.11542581681842529,0.029726834493840386,0.578125,5.00862819025522,0.023791709472646583,2.0967684342081774,0.8437285393807133
"frozenset({'Roofing Sheets', 'Loover'})",frozenset({'Doors'}),0.05570433851098018,0.1146223888591323,0.031333690412426354,0.5625,4.907418224299065,0.024948726062480046,2.023720254036269,0.8431965715005988
"frozenset({'Roofing Sheets', 'Interlock'})",frozenset({'Loover'}),0.053829673272629885,0.11221210498125335,0.02945902517407606,0.5472636815920399,4.877046747171066,0.023418684225701147,1.9609380977886606,0.8401847515631835
"frozenset({'Interlock', 'Doors'})",frozenset({'Roofing Sheets'}),0.05650776647027317,0.10712372790573112,0.02919121585431173,0.5165876777251184,4.82234597156398,0.02313789325438959,1.8470283667832421,0.8401044772621332
"frozenset({'Roofing Sheets', 'Interlock'})",frozenset({'Doors'}),0.053829673272629885,0.1146223888591323,0.02919121585431173,0.5422885572139303,4.731087552889757,0.023021130112296305,1.9343576069490696,0.833499092436451
"frozenset({'Interlock', 'Doors'})",frozenset({'Loover'}),0.05650776647027317,0.11221210498125335,0.029726834493840386,0.5260663507109005,4.68814260991528,0.023385979070421944,1.8732324584895554,0.8338128079825495
"frozenset({'Interlock', 'Flower Pots'})",frozenset({'Tables and Benches'}),0.05168719871451526,0.11542581681842529,0.02785216925549009,0.538860103626943,4.668453890819038,0.021886132124810904,1.9182339028544262,0.8286256598527143
frozenset({'Roofing Sheets'}),frozenset({'Loover'}),0.10712372790573112,0.11221210498125335,0.05570433851098018,0.52,4.634081145584726,0.04368375950923906,1.849558114622389,0.8782935720548198
frozenset({'Roofing Sheets'}),frozenset({'Doors'}),0.10712372790573112,0.1146223888591323,0.05463310123192287,0.51,4.449392523364486,0.04235432363587228,1.8068930839609545,0.8682616417892892
frozenset({'Loover'}),frozenset({'Doors'}),0.11221210498125335,0.1146223888591323,0.05650776647027317,0.5035799522673031,4.393382106930163,0.04364574693841017,1.7835250916731902,0.870010650997548
"frozenset({'Garden Animal Moulds', 'Temple Items'})",frozenset({'Flower Pots'}),0.039100160685591856,0.1732726298875201,0.027316550615961437,0.6986301369863015,4.031970527831298,0.020541562944944317,2.7432317281005028,0.7825813714560519
"frozenset({'Flower Pots', 'Temple Items'})",frozenset({'Garden Animal Moulds'}),0.039100160685591856,0.17461167648634174,0.027316550615961437,0.6986301369863015,4.001050508446088,0.020489206007764892,2.7387885280225945,0.7805867051391349
