InvoiceID,Year,Month,Quarter,MonthName,ProductCategory,Quantity,IsSeasonal,MonthlyRevenue
INV-00005,2019,1,Q1,Jan,Tables and Benches,1,0,337921
INV-00005,2019,1,Q1,Jan,Flower Pots,1,0,337921
INV-00016,2019,1,Q1,Jan,Temple Items,1,1,337921
INV-00016,2019,1,Q1,Jan,Flower Pots,2,0,337921
INV-00016,2019,1,Q1,Jan,Garden Animal Moulds,1,0,337921
INV-00021,2019,1,Q1,Jan,Chemical Proof Tanks,1,1,337921
INV-00001,2019,1,Q1,Jan,Slab Moulds,1,1,337921
INV-00001,2019,1,Q1,Jan,Kanu Moulds,2,0,337921
INV-00001,2019,1,Q1,Jan,Beeralu Moulds,1,0,337921
INV-00003,2019,1,Q1,Jan,Molding Pati,1,1,337921
INV-00003,2019,1,Q1,Jan,Kalugal Moulds,1,1,337921
INV-00003,2019,1,Q1,Jan,Silparan Kota,1,1,337921
INV-00003,2019,1,Q1,Jan,Beeralu Moulds,1,0,337921
INV-00017,2019,1,Q1,Jan,Molding Pati,1,1,337921
INV-00017,2019,1,Q1,Jan,Silparan Kota,1,1,337921
INV-00017,2019,1,Q1,Jan,Slab Moulds,1,1,337921
INV-00043,2019,1,Q1,Jan,Loover,1,1,337921
INV-00043,2019,1,Q1,Jan,Roofing Sheets,1,1,337921
INV-00011,2019,1,Q1,Jan,Molding Pati,1,1,337921
INV-00025,2019,1,Q1,Jan,Bathik Tanks,1,1,337921
INV-00025,2019,1,Q1,Jan,Water Proof Tanks,1,1,337921
INV-00035,2019,1,Q1,Jan,Flower Pots,6,0,337921
INV-00035,2019,1,Q1,Jan,Tables and Benches,1,0,337921
INV-00035,2019,1,Q1,Jan,Garden Animal Moulds,3,0,337921
INV-00002,2019,1,Q1,Jan,Molding Pati,1,1,337921
INV-00006,2019,1,Q1,Jan,Water Proof Tanks,1,1,337921
INV-00029,2019,1,Q1,Jan,Bathik Tanks,1,1,337921
INV-00029,2019,1,Q1,Jan,Chemical Proof Tanks,1,1,337921
INV-00029,2019,1,Q1,Jan,Water Proof Tanks,1,1,337921
INV-00033,2019,1,Q1,Jan,Garden Animal Moulds,1,0,337921
INV-00012,2019,1,Q1,Jan,Temple Items,1,1,337921
INV-00030,2019,1,Q1,Jan,Roofing Sheets,1,1,337921
INV-00030,2019,1,Q1,Jan,Interlock,3,0,337921
INV-00039,2019,1,Q1,Jan,Kalugal Moulds,1,1,337921
INV-00022,2019,1,Q1,Jan,Loover,1,1,337921
INV-00022,2019,1,Q1,Jan,Doors,1,1,337921
INV-00034,2019,1,Q1,Jan,Doors,1,1,337921
INV-00015,2019,1,Q1,Jan,Interlock,1,0,337921
INV-00014,2019,1,Q1,Jan,Kanu Moulds,4,0,337921
INV-00042,2019,1,Q1,Jan,Chemical Proof Tanks,1,1,337921
INV-00009,2019,1,Q1,Jan,Kanu Moulds,1,0,337921
INV-00009,2019,1,Q1,Jan,Kalugal Moulds,1,1,337921
INV-00024,2019,1,Q1,Jan,Chemical Proof Tanks,1,1,337921
INV-00024,2019,1,Q1,Jan,Bathik Tanks,1,1,337921
INV-00024,2019,1,Q1,Jan,Water Proof Tanks,1,1,337921
INV-00004,2019,1,Q1,Jan,Molding Pati,1,1,337921
INV-00004,2019,1,Q1,Jan,Kalugal Moulds,1,1,337921
INV-00007,2019,1,Q1,Jan,Molding Pati,2,1,337921
INV-00007,2019,1,Q1,Jan,Kanu Moulds,5,0,337921
INV-00018,2019,1,Q1,Jan,Garden Animal Moulds,1,0,337921
INV-00018,2019,1,Q1,Jan,Flower Pots,3,0,337921
INV-00018,2019,1,Q1,Jan,Tables and Benches,1,0,337921
INV-00031,2019,1,Q1,Jan,Temple Items,1,1,337921
INV-00031,2019,1,Q1,Jan,Garden Animal Moulds,1,0,337921
INV-00031,2019,1,Q1,Jan,Flower Pots,3,0,337921
INV-00040,2019,1,Q1,Jan,Flower Pots,6,0,337921
